borough;location_id;zone;Longitude;Latitude
EWR;1;Newark Airport;-74.1767785471836;40.6895151478039
Queens;2;Jamaica Bay;-73.826141187548;40.6257250653606
Bronx;3;Allerton/Pelham Gardens;-73.8494797117996;40.8658720486048
Manhattan;4;Alphabet City;-73.9770238531481;40.7241508237094
Staten Island;5;Arden Heights;-74.1899382186973;40.5503388087419
Staten Island;6;Arrochar/Fort Wadsworth;-74.067784415989;40.5990540522727
Queens;7;Astoria;-73.9214822351202;40.7610941908165
Queens;8;Astoria Park;-73.9231996351178;40.7786091900536
Queens;9;Auburndale;-73.788019387688;40.7543991714348
Manhattan;24;Bloomingdale;-73.9655685008179;40.8020326846964
Queens;10;Baisley Park;-73.7916548635917;40.678101884465
Brooklyn;11;Bath Beach;-74.010614577798;40.6039781434647
Manhattan;12;Battery Park;-74.015489822631;40.7024875740507
Manhattan;13;Battery Park City;-74.016119676412;40.7116120409703
Bronx;18;Bedford Park;-73.8869234351293;40.8687686529423
Brooklyn;25;Boerum Hill;-73.9864596713285;40.6856156764957
Brooklyn;14;Bay Ridge;-74.0304481021718;40.6235833928849
Queens;15;Bay Terrace/Fort Totten;-73.7879935355271;40.7852453578963
Brooklyn;22;Bensonhurst West;-73.9942964016157;40.6096262221388
Staten Island;23;Bloomfield/Emerson Hill;-74.1593411184408;40.6074284613631
Queens;16;Bayside;-73.7716756284112;40.7612343254115
Brooklyn;17;Bedford;-73.949180773692;40.6919912634499
Queens;19;Bellerose;-73.727896170924;40.7364716742206
Bronx;20;Belmont;-73.8860353385252;40.8577730959398
Brooklyn;21;Bensonhurst East;-73.9813014192894;40.6020489344532
Brooklyn;26;Borough Park;-73.9895605620844;40.6286134091127
Queens;27;Breezy Point/Fort Tilden/Riis Beach;-73.9097817318296;40.5589421136732
Queens;28;Briarwood/Jamaica Hills;-73.8073148986691;40.7108516062057
Brooklyn;33;Brooklyn Heights;-73.9953288805328;40.6962386836944
Brooklyn;29;Brighton Beach;-73.9605803598493;40.5821933711719
Bronx;31;Bronx Park;-73.8757213805039;40.8599258834332
Bronx;32;Bronxdale;-73.8646243306344;40.8644452005706
Queens;30;Broad Channel;-73.8200979414619;40.6048766987842
Brooklyn;34;Brooklyn Navy Yard;-73.9677011560345;40.7025605301963
Brooklyn;35;Brownsville;-73.9124714112829;40.6637990606078
Brooklyn;36;Bushwick North;-73.9161942746904;40.6988739907155
Brooklyn;37;Bushwick South;-73.9259408152051;40.696262872816
Queens;38;Cambria Heights;-73.7355503356822;40.6933168280704
Brooklyn;39;Canarsie;-73.8997822566826;40.6388776813527
Brooklyn;40;Carroll Gardens;-73.9958179086599;40.6785035606692
Manhattan;41;Central Harlem;-73.9520643705523;40.8042043196443
Manhattan;45;Chinatown;-73.9982525452979;40.713058469731
Bronx;46;City Island;-73.7864259615609;40.847469471525
Manhattan;42;Central Harlem North;-73.9395193400941;40.8210432481452
Manhattan;43;Central Park;-73.9655721742261;40.7824596006424
Staten Island;44;Charleston/Tottenville;-74.2295254958276;40.5273168902313
Bronx;47;Claremont/Bathgate;-73.8969289384913;40.8457548038173
Manhattan;48;Clinton East;-73.9898566520191;40.7622366943826
Brooklyn;49;Clinton Hill;-73.9649334691936;40.6885144373622
Manhattan;50;Clinton West;-73.9938997681529;40.7666918128623
Bronx;51;Co-Op City;-73.83041955048;40.8740723627583
Brooklyn;52;Cobble Hill;-73.9969227180023;40.6866039903311
Queens;53;College Point;-73.8440792356717;40.7819836057417
Brooklyn;54;Columbia Street;-74.0030934802705;40.6869905668704
Brooklyn;55;Coney Island;-73.9904735561227;40.5768972746941
Queens;56;Corona;-73.8590561941745;40.7415985183016
Queens;56;Corona;-73.8533838202807;40.7523147567598
Bronx;58;Country Club;-73.8207250601369;40.8415088688735
Bronx;59;Crotona Park;-73.8930766915585;40.8388556804551
Bronx;60;Crotona Park East;-73.8897802710264;40.8312936607613
Brooklyn;61;Crown Heights North;-73.9412833434095;40.6738413689524
Brooklyn;62;Crown Heights South;-73.949268913492;40.6670833198005
Brooklyn;63;Cypress Hills;-73.8776771989887;40.6848229735849
Queens;64;Douglaston;-73.7314527800241;40.760668294731
Brooklyn;65;Downtown Brooklyn/MetroTech;-73.9855709103419;40.6953719451294
Brooklyn;72;East Flatbush/Remsen Village;-73.9202093751089;40.6524529041998
Brooklyn;66;DUMBO/Vinegar Hill;-73.9863824464887;40.7017322090195
Brooklyn;67;Dyker Heights;-74.0147359432118;40.618454023575
Manhattan;68;East Chelsea;-73.9999401557;40.7483971626708
Queens;73;East Flushing;-73.8066010835421;40.7536968193034
Bronx;69;East Concourse/Concourse Village;-73.9153682953623;40.8306044452361
Queens;70;East Elmhurst;-73.8684053913991;40.7639477210201
Brooklyn;71;East Flatbush/Farragut;-73.9377345760915;40.6439287510255
Manhattan;79;East Village;-73.9852139376555;40.7279439556963
Brooklyn;80;East Williamsburg;-73.942335809577;40.7144620687616
Manhattan;74;East Harlem North;-73.9383133149248;40.8055646797432
Brooklyn;85;Erasmus;-73.9522089235581;40.6472548455642
Queens;86;Far Rockaway;-73.7541915046308;40.6025875430331
Manhattan;75;East Harlem South;-73.9449566719829;40.7906498131877
Brooklyn;76;East New York;-73.8783788222371;40.6587031028167
Brooklyn;77;East New York/Pennsylvania Avenue;-73.8957171457067;40.6677017199152
Bronx;78;East Tremont;-73.8866447286733;40.8460111330758
Bronx;81;Eastchester;-73.8455513346595;40.8773597611107
Manhattan;87;Financial District North;-74.0078109913198;40.7066582793788
Queens;82;Elmhurst;-73.8723463998088;40.7384711451316
Queens;83;Elmhurst/Maspeth;-73.8892345115106;40.7401496459848
Staten Island;84;Eltingville/Annadale/Prince's Bay;-74.1739579641169;40.5320157425092
Manhattan;88;Financial District South;-74.0113075756494;40.7033942088545
Brooklyn;89;Flatbush/Ditmas Park;-73.9626943864698;40.6409826942743
Manhattan;90;Flatiron;-73.9967770109211;40.7425467941509
Manhattan;125;Hudson Sq;-74.0071760746138;40.7253761379771
Brooklyn;91;Flatlands;-73.9325432531215;40.62738904152
Queens;92;Flushing;-73.830446663996;40.7641269160531
Queens;93;Flushing Meadows-Corona Park;-73.8418971404074;40.7392419968231
Bronx;94;Fordham South;-73.9005936566449;40.8582578254515
Queens;95;Forest Hills;-73.8482280477574;40.7234787937062
Queens;96;Forest Park/Highland Park;-73.8759726709683;40.6957597292336
Brooklyn;97;Fort Greene;-73.9755770542604;40.6906172512069
Queens;98;Fresh Meadows;-73.7795627090344;40.7338408065896
Staten Island;99;Freshkills Park;-74.1877048891303;40.5796170852987
Manhattan;100;Garment District;-73.9887858961858;40.753514033595
Queens;101;Glen Oaks;-73.7090728013721;40.7437423878519
Queens;102;Glendale;-73.8820093188063;40.7026675398565
Manhattan;103;Governor's Island/Ellis Island/Liberty Island;-74.0451809240024;40.6898598987975
Manhattan;103;Governor's Island/Ellis Island/Liberty Island;-74.0391307878279;40.6986721189609
Manhattan;103;Governor's Island/Ellis Island/Liberty Island;-74.0187944543321;40.6881376609936
Brooklyn;106;Gowanus;-73.9917627093719;40.6733620674965
Manhattan;107;Gramercy;-73.9833104067285;40.7373482958036
Brooklyn;108;Gravesend;-73.9803747141946;40.5891086684813
Staten Island;109;Great Kills;-74.1527267822435;40.5488292033123
Staten Island;110;Great Kills Park;-74.1258485775449;40.5432647418342
Brooklyn;111;Green-Wood Cemetery;-73.9909882973692;40.6521147992906
Brooklyn;112;Greenpoint;-73.9484813793274;40.7288301832479
Manhattan;113;Greenwich Village North;-73.9946280863516;40.732485290011
Manhattan;114;Greenwich Village South;-73.9986780883424;40.7286125116113
Staten Island;115;Grymes Hill/Clifton;-74.0924737512597;40.6201412140988
Manhattan;116;Hamilton Heights;-73.9473672226893;40.8275353181432
Queens;117;Hammels/Arverne;-73.7760917621825;40.5960939870336
Staten Island;118;Heartland Village/Todt Hill;-74.1370645598249;40.585663549866
Bronx;119;Highbridge;-73.9269600267724;40.8367339066023
Manhattan;120;Highbridge Park;-73.9308068590011;40.8460040713408
Brooklyn;149;Madison;-73.9484733812442;40.6065536985748
Brooklyn;150;Manhattan Beach;-73.9428833477914;40.5802569707349
Queens;121;Hillcrest/Pomonok;-73.7996959805071;40.7273675227027
Queens;122;Hollis;-73.7615717285247;40.711087102715
Brooklyn;123;Homecrest;-73.9651986520875;40.6002034896107
Queens;124;Howard Beach;-73.8500167185977;40.6595718151335
Bronx;126;Hunts Point;-73.8849914059533;40.813905129519
Manhattan;127;Inwood;-73.920322525488;40.865057299115
Manhattan;128;Inwood Hill Park;-73.925436514929;40.8721816067252
Queens;129;Jackson Heights;-73.887408439108;40.7590689865715
Queens;134;Kew Gardens;-73.8300017903863;40.7087638540309
Manhattan;151;Manhattan Valley;-73.9678067830872;40.7978672267025
Queens;130;Jamaica;-73.8003612946333;40.7032425130701
Queens;139;Laurelton;-73.7433164657272;40.6777487689206
Queens;131;Jamaica Estates;-73.7713780967752;40.7203736326768
Queens;132;JFK Airport;-73.7783406791466;40.6426831088203
Brooklyn;133;Kensington;-73.9743362348833;40.6393871004841
Manhattan;140;Lenox Hill East;-73.9545679376881;40.7655067210677
Queens;135;Kew Gardens Hills;-73.823984179009;40.7294225795546
Bronx;136;Kingsbridge Heights;-73.905720320625;40.8648025999278
Manhattan;137;Kips Bay;-73.9771204876606;40.7403575164432
Manhattan;141;Lenox Hill West;-73.9597126794378;40.7668387705094
Manhattan;142;Lincoln Square East;-73.9813524075334;40.7739059292717
Manhattan;152;Manhattanville;-73.954323535968;40.8175786783826
Queens;138;LaGuardia Airport;-73.8728301614581;40.7748797262979
Manhattan;143;Lincoln Square West;-73.9879721800883;40.7757711485761
Manhattan;144;Little Italy/NoLiTa;-73.9974067293384;40.7205815434934
Queens;145;Long Island City/Hunters Point;-73.9486931319435;40.7465939614146
Queens;146;Long Island City/Queens Plaza;-73.9336387346432;40.7545247313026
Bronx;147;Longwood;-73.8981918511151;40.8191984111514
Manhattan;148;Lower East Side;-73.9907188720072;40.7192104251214
Manhattan;153;Marble Hill;-73.9110528053229;40.8755960927892
Brooklyn;154;Marine Park/Floyd Bennett Field;-73.8961280155751;40.593135765899
Brooklyn;155;Marine Park/Mill Basin;-73.9067763297799;40.6178019578665
Staten Island;156;Mariners Harbor;-74.1649285228706;40.6287935799938
Bronx;159;Melrose South;-73.9135851224759;40.8182590735951
Queens;157;Maspeth;-73.9019189724654;40.7240402495271
Manhattan;158;Meatpacking/West Village West;-74.0083857615492;40.7352480158276
Queens;160;Middle Village;-73.8807310277173;40.7185218286288
Manhattan;161;Midtown Center;-73.9774318382627;40.7582263972844
Manhattan;162;Midtown East;-73.9721454818065;40.7568161282963
Manhattan;163;Midtown North;-73.9783669049515;40.7644253047925
Manhattan;164;Midtown South;-73.9859291133603;40.7488082217614
Manhattan;170;Murray Hill;-73.9769427386898;40.7476544299344
Brooklyn;165;Midwood;-73.9546036859876;40.6209621560963
Manhattan;166;Morningside Heights;-73.9618154720256;40.8095696766464
Bronx;167;Morrisania/Melrose;-73.9044493373094;40.8279816746182
Brooklyn;178;Ocean Parkway South;-73.9706896971256;40.6176333717309
Bronx;168;Mott Haven/Port Morris;-73.9170596316426;40.8074483102141
Bronx;169;Mount Hope;-73.905021874855;40.8491146858235
Queens;171;Murray Hill-Queens;-73.808876506223;40.7689425494073
Staten Island;172;New Dorp/Midland Beach;-74.1038917273825;40.572448416791
Queens;173;North Corona;-73.863078623782;40.7517688115326
Bronx;174;Norwood;-73.8777569170164;40.8768519049501
Queens;175;Oakland Gardens;-73.7553774748496;40.7434307292616
Queens;179;Old Astoria;-73.9268139188898;40.7714208534306
Staten Island;176;Oakwood;-74.1195917990432;40.5620606047727
Brooklyn;177;Ocean Hill;-73.911113650814;40.6770986672432
Queens;180;Ozone Park;-73.8493718106431;40.6751786861168
Brooklyn;181;Park Slope;-73.9790435893448;40.6720209908141
Bronx;182;Parkchester;-73.8579404888961;40.8373975935755
Bronx;183;Pelham Bay;-73.8318536451171;40.8495685416584
Bronx;184;Pelham Bay Park;-73.8046062245975;40.86480590858
Bronx;185;Pelham Parkway;-73.855174333874;40.8534526738262
Manhattan;186;Penn Station/Madison Sq West;-73.9924553316349;40.7484762953949
Brooklyn;189;Prospect Heights;-73.9682674724579;40.6771816746813
Brooklyn;190;Prospect Park;-73.9709483613587;40.660606928672
Staten Island;187;Port Richmond;-74.14114821805;40.6254544964902
Brooklyn;188;Prospect-Lefferts Gardens;-73.9451999491421;40.6575587545309
Queens;191;Queens Village;-73.7411281086964;40.7143067606801
Queens;192;Queensboro Hill;-73.8152012048534;40.7443756581374
Queens;193;Queensbridge/Ravenswood;-73.9402858480123;40.7617243526225
Manhattan;194;Randalls Island;-73.9210244040301;40.7914369437397
Queens;196;Rego Park;-73.8640135718261;40.7236525157828
Brooklyn;195;Red Hook;-74.009552881762;40.675463882728
Queens;203;Rosedale;-73.7367182156851;40.6594787353054
Queens;197;Richmond Hill;-73.829030845011;40.6929730806537
Queens;198;Ridgewood;-73.9019833342855;40.7045300149761
Bronx;199;Rikers Island;-73.8835343798404;40.7920372913687
Bronx;212;Soundview/Bruckner;-73.8699050087532;40.8282923252089
Bronx;213;Soundview/Castle Hill;-73.8607609203766;40.8164678567266
Bronx;200;Riverdale/North Riverdale/Fieldston;-73.9064634406008;40.8998515278275
Staten Island;204;Rossville/Woodrow;-74.2069694271455;40.5407424347672
Queens;201;Rockaway Park;-73.8472806205454;40.5774498656185
Manhattan;202;Roosevelt Island;-73.9504103570167;40.7611678256594
Queens;205;Saint Albans;-73.7625885037134;40.6922161447271
Staten Island;206;Saint George/New Brighton;-74.123164043681;40.6359777069774
Queens;207;Saint Michaels Cemetery/Woodside;-73.8993238958027;40.7635076244234
Bronx;208;Schuylerville/Edgewater Park;-73.8248869576172;40.8246657618095
Manhattan;209;Seaport;-74.0023603272126;40.7084904955307
Brooklyn;210;Sheepshead Bay;-73.9443429239079;40.593775393624
Manhattan;211;SoHo;-74.0013744160533;40.7238993511486
Staten Island;214;South Beach/Dongan Hills;-74.0858854506051;40.5866175348348
Queens;215;South Jamaica;-73.7903944038956;40.6941666338562
Queens;216;South Ozone Park;-73.8205130509202;40.6770702279071
Brooklyn;217;South Williamsburg;-73.9568408354454;40.7032495515468
Queens;218;Springfield Gardens North;-73.7721171465931;40.6733022093616
Queens;219;Springfield Gardens South;-73.7610084666884;40.6602561289957
Brooklyn;225;Stuyvesant Heights;-73.9314497382925;40.6887849638936
Bronx;220;Spuyten Duyvil/Kingsbridge;-73.9118816012649;40.8818912035641
Manhattan;224;Stuy Town/Peter Cooper Village;-73.9778427280586;40.7317274926297
Queens;226;Sunnyside;-73.9293143373347;40.7352650865963
Staten Island;221;Stapleton;-74.081328320532;40.6202320864678
Brooklyn;222;Starrett City;-73.8820613195338;40.6466898483827
Queens;223;Steinway;-73.9066566437687;40.7782052899923
Brooklyn;227;Sunset Park East;-74.0067950395555;40.6415969435737
Brooklyn;228;Sunset Park West;-74.0099609499859;40.6536174799805
Manhattan;229;Sutton Place/Turtle Bay North;-73.9651742350916;40.7565891857642
Manhattan;230;Times Sq/Theatre District;-73.9841761616924;40.759844680615
Manhattan;231;TriBeCa/Civic Center;-74.0067116809378;40.7186966451636
Manhattan;239;Upper West Side South;-73.9782732965246;40.7841070785348
Manhattan;232;Two Bridges/Seward Park;-73.9823074905582;40.715384282459
Manhattan;233;UN/Turtle Bay South;-73.9712545487464;40.7491736906864
Manhattan;234;Union Sq;-73.9904776187252;40.7403133927983
Bronx;235;University Heights/Morris Heights;-73.9149679803186;40.853502634607
Manhattan;236;Upper East Side North;-73.9569723832581;40.7804913899719
Manhattan;237;Upper East Side South;-73.965691490148;40.768541811641
Manhattan;238;Upper West Side North;-73.9728144762973;40.7917659510338
Bronx;240;Van Cortlandt Park;-73.8790652607428;40.8947277038797
Bronx;241;Van Cortlandt Village;-73.896450187447;40.8759755522877
Queens;258;Woodhaven;-73.8566459277859;40.690139569402
Bronx;242;Van Nest/Morris Park;-73.8398742943954;40.8496126394353
Staten Island;245;West Brighton;-74.1031782317756;40.6284658229847
Manhattan;263;Yorkville West;-73.9512093505608;40.7784939646924
Manhattan;243;Washington Heights North;-73.9328247077291;40.8586701016187
Manhattan;244;Washington Heights South;-73.9416678789049;40.841218844586
Queens;253;Willets Point;-73.8414719488218;40.7600915886416
Manhattan;246;West Chelsea/Hudson Yards;-74.0045122067897;40.7524377637386
Bronx;247;West Concourse;-73.9251326473159;40.8291458371985
Bronx;248;West Farms/Bronx River;-73.8710115823434;40.8346875369308
Manhattan;249;West Village;-74.0024969143887;40.7346112822791
Brooklyn;257;Windsor Terrace;-73.9772393557782;40.6536644678262
Bronx;250;Westchester Village/Unionport;-73.8495809413018;40.8326124819973
Staten Island;251;Westerleigh;-74.1232324865129;40.619622206333
Queens;252;Whitestone;-73.8154024465701;40.7883289434323
Bronx;254;Williamsbridge/Olinville;-73.8582749478814;40.883212276466
Brooklyn;255;Williamsburg (North Side);-73.9571340059295;40.7188382400973
Brooklyn;256;Williamsburg (South Side);-73.9591084943837;40.7109802819405
Bronx;259;Woodlawn/Wakefield;-73.8563997211766;40.8990800823679
Queens;260;Woodside;-73.9037149992412;40.7467908284139
Manhattan;261;World Trade Center;-74.0129195637957;40.7089752027539
Manhattan;262;Yorkville East;-73.9458299213996;40.7765365407327